subject_id,block_id,trial_no,choice_location,outcomeA,outcomeB,chosen_reward,option_left,option_right,choiceprobA,choiceprobB
61,4,18,left,4,6,4,A,B,1,0
61,4,19,right,9,6,6,A,B,0,1
61,4,20,left,4,6,4,A,B,1,0
61,4,21,right,4,1,1,A,B,0,1
61,4,22,right,4,1,1,A,B,0,1
61,4,23,left,4,6,4,A,B,1,0
61,4,24,right,9,1,1,A,B,0,1
61,4,25,left,9,1,9,A,B,1,0
61,4,26,left,4,6,4,A,B,1,0
61,4,27,left,4,6,4,A,B,1,0
61,4,28,right,9,1,1,A,B,0,1
61,4,29,left,4,6,4,A,B,1,0
61,4,30,left,4,6,4,A,B,1,0
62,1,1,right,7,8,8,A,B,0,1
62,1,2,right,6,4,4,A,B,0,1
62,1,3,right,5,7,7,A,B,0,1
62,1,4,right,4,6,6,A,B,0,1
62,1,5,right,6,7,7,A,B,0,1
62,1,6,left,6,7,6,A,B,1,0
62,1,7,right,4,5,5,A,B,0,1
62,1,8,right,7,4,4,A,B,0,1
62,1,9,right,7,6,6,A,B,0,1
62,1,10,right,5,6,6,A,B,0,1
62,1,11,right,8,5,5,A,B,0,1
62,1,12,right,5,6,6,A,B,0,1
62,1,13,left,5,6,5,A,B,1,0
62,1,14,left,3,5,3,A,B,1,0
62,1,15,left,4,5,4,A,B,1,0
62,1,16,right,6,7,7,A,B,0,1
62,1,17,right,5,6,6,A,B,0,1
62,1,18,right,7,4,4,A,B,0,1
62,1,19,right,8,7,7,A,B,0,1
62,1,20,right,6,8,8,A,B,0,1
62,1,21,right,7,4,4,A,B,0,1
62,1,22,left,5,6,5,A,B,1,0
62,1,23,left,8,6,8,A,B,1,0
62,1,24,right,4,5,5,A,B,0,1
62,1,25,right,6,9,9,A,B,0,1
62,1,26,right,6,8,8,A,B,0,1
62,1,27,right,9,3,3,A,B,0,1
62,1,28,right,8,5,5,A,B,0,1
62,1,29,left,6,7,6,A,B,1,0
62,1,30,left,7,8,7,A,B,1,0
62,2,1,left,4,1,4,A,B,1,0
62,2,2,left,4,6,4,A,B,1,0
62,2,3,left,9,6,9,A,B,1,0
62,2,4,left,4,6,4,A,B,1,0
62,2,5,left,4,6,4,A,B,1,0
62,2,6,right,9,6,6,A,B,0,1
62,2,7,right,4,6,6,A,B,0,1
62,2,8,right,4,6,6,A,B,0,1
62,2,9,left,4,1,4,A,B,1,0
62,2,10,right,4,6,6,A,B,0,1
62,2,11,right,9,6,6,A,B,0,1
62,2,12,right,4,6,6,A,B,0,1
62,2,13,right,4,1,1,A,B,0,1
62,2,14,right,4,6,6,A,B,0,1
62,2,15,right,4,6,6,A,B,0,1
62,2,16,left,9,6,9,A,B,1,0
62,2,17,right,4,6,6,A,B,0,1
62,2,18,right,4,6,6,A,B,0,1
62,2,19,left,4,6,4,A,B,1,0
62,2,20,left,4,1,4,A,B,1,0
62,2,21,right,4,6,6,A,B,0,1
62,2,22,right,4,1,1,A,B,0,1
62,2,23,right,9,6,6,A,B,0,1
62,2,24,right,4,6,6,A,B,0,1
62,2,25,left,4,6,4,A,B,1,0
62,2,26,left,4,1,4,A,B,1,0
62,2,27,right,4,6,6,A,B,0,1
62,2,28,right,9,6,6,A,B,0,1
62,2,29,right,4,6,6,A,B,0,1
62,2,30,left,4,6,4,A,B,1,0
62,3,1,right,4,6,4,B,A,1,0
62,3,2,left,4,6,6,B,A,0,1
62,3,3,left,4,6,6,B,A,0,1
62,3,4,left,9,6,6,B,A,0,1
62,3,5,left,4,6,6,B,A,0,1
62,3,6,left,4,6,6,B,A,0,1
62,3,7,right,4,1,4,B,A,1,0
62,3,8,left,4,6,6,B,A,0,1
62,3,9,left,4,6,6,B,A,0,1
62,3,10,right,4,6,4,B,A,1,0
62,3,11,right,4,6,4,B,A,1,0
62,3,12,left,4,6,6,B,A,0,1
62,3,13,left,4,6,6,B,A,0,1
62,3,14,right,4,6,4,B,A,1,0
62,3,15,right,4,6,4,B,A,1,0
62,3,16,left,4,6,6,B,A,0,1
62,3,17,left,4,1,1,B,A,0,1
62,3,18,left,4,6,6,B,A,0,1
62,3,19,left,4,6,6,B,A,0,1
62,3,20,left,9,6,6,B,A,0,1
62,3,21,left,4,6,6,B,A,0,1
62,3,22,left,4,6,6,B,A,0,1
62,3,23,left,4,6,6,B,A,0,1
62,3,24,left,4,6,6,B,A,0,1
62,3,25,left,4,6,6,B,A,0,1
62,3,26,left,4,6,6,B,A,0,1
62,3,27,left,4,6,6,B,A,0,1
62,3,28,left,4,6,6,B,A,0,1
62,3,29,left,4,6,6,B,A,0,1
62,3,30,right,4,6,4,B,A,1,0
62,4,1,right,4,1,4,B,A,1,0
62,4,2,right,4,6,4,B,A,1,0
62,4,3,right,9,6,9,B,A,1,0
62,4,4,left,4,6,6,B,A,0,1
62,4,5,left,4,1,1,B,A,0,1
62,4,6,left,9,6,6,B,A,0,1
62,4,7,right,9,1,9,B,A,1,0
62,4,8,right,9,6,9,B,A,1,0
62,4,9,right,4,6,4,B,A,1,0
62,4,10,right,9,1,9,B,A,1,0
62,4,11,right,4,1,4,B,A,1,0
62,4,12,right,4,6,4,B,A,1,0
62,4,13,right,4,6,4,B,A,1,0
62,4,14,right,4,6,4,B,A,1,0
62,4,15,right,4,6,4,B,A,1,0
62,4,16,right,4,6,4,B,A,1,0
62,4,17,left,9,1,1,B,A,0,1
62,4,18,right,9,1,9,B,A,1,0
62,4,19,right,9,6,9,B,A,1,0
62,4,20,right,4,6,4,B,A,1,0
62,4,21,left,4,6,6,B,A,0,1
62,4,22,right,4,6,4,B,A,1,0
62,4,23,right,4,6,4,B,A,1,0
62,4,24,right,4,6,4,B,A,1,0
62,4,25,left,9,6,6,B,A,0,1
62,4,26,right,4,1,4,B,A,1,0
62,4,27,right,9,1,9,B,A,1,0
62,4,28,right,4,6,4,B,A,1,0
62,4,29,right,4,1,4,B,A,1,0
62,4,30,right,4,6,4,B,A,1,0
63,1,1,left,4,5,5,B,A,0,1
63,1,2,left,5,6,6,B,A,0,1
63,1,3,left,3,4,4,B,A,0,1
63,1,4,left,5,1,1,B,A,0,1
63,1,5,right,2,3,2,B,A,1,0
63,1,6,right,6,4,6,B,A,1,0
63,1,7,right,2,3,2,B,A,1,0
63,1,8,left,5,3,3,B,A,0,1
63,1,9,left,2,5,5,B,A,0,1
63,1,10,left,4,3,3,B,A,0,1
63,1,11,right,2,3,2,B,A,1,0
63,1,12,right,6,2,6,B,A,1,0
63,1,13,right,4,5,4,B,A,1,0
63,1,14,left,3,4,4,B,A,0,1
63,1,15,left,3,4,4,B,A,0,1
63,1,16,right,7,3,7,B,A,1,0
63,1,17,right,3,4,3,B,A,1,0
63,1,18,left,5,6,6,B,A,0,1
63,1,19,left,5,6,6,B,A,0,1
63,1,20,left,1,2,2,B,A,0,1
63,1,21,right,5,4,5,B,A,1,0
63,1,22,right,3,5,3,B,A,1,0
63,1,23,right,4,5,4,B,A,1,0
63,1,24,right,4,2,4,B,A,1,0
63,1,25,right,4,5,4,B,A,1,0
63,1,26,left,6,7,7,B,A,0,1
63,1,27,left,3,4,4,B,A,0,1
63,1,28,left,4,6,6,B,A,0,1
63,1,29,left,4,2,2,B,A,0,1
63,1,30,right,6,4,6,B,A,1,0
63,2,1,right,4,6,4,B,A,1,0
63,2,2,left,4,1,1,B,A,0,1
63,2,3,left,4,6,6,B,A,0,1
63,2,4,right,9,6,9,B,A,1,0
63,2,5,right,4,6,4,B,A,1,0
63,2,6,left,4,6,6,B,A,0,1
63,2,7,right,4,6,4,B,A,1,0
63,2,8,right,4,1,4,B,A,1,0
63,2,9,left,4,6,6,B,A,0,1
63,2,10,left,9,6,6,B,A,0,1
63,2,11,left,4,6,6,B,A,0,1
63,2,12,left,4,6,6,B,A,0,1
63,2,13,right,9,6,9,B,A,1,0
63,2,14,right,4,6,4,B,A,1,0
63,2,15,right,4,1,4,B,A,1,0
63,2,16,left,4,6,6,B,A,0,1
63,2,17,left,4,6,6,B,A,0,1
63,2,18,right,4,6,4,B,A,1,0
63,2,19,right,4,1,4,B,A,1,0
63,2,20,right,9,6,9,B,A,1,0
63,2,21,left,4,1,1,B,A,0,1
63,2,22,left,9,6,6,B,A,0,1
63,2,23,left,4,6,6,B,A,0,1
63,2,24,left,4,6,6,B,A,0,1
63,2,25,right,4,6,4,B,A,1,0
63,2,26,right,9,6,9,B,A,1,0
63,2,27,left,4,6,6,B,A,0,1
63,2,28,left,4,1,1,B,A,0,1
63,2,29,right,4,6,4,B,A,1,0
63,2,30,left,4,6,6,B,A,0,1
63,3,1,right,4,6,6,A,B,0,1
63,3,2,right,4,6,6,A,B,0,1
63,3,3,left,9,6,9,A,B,1,0
63,3,4,left,4,1,4,A,B,1,0
63,3,5,right,4,6,6,A,B,0,1
63,3,6,right,4,6,6,A,B,0,1
63,3,7,right,4,6,6,A,B,0,1
63,3,8,right,4,6,6,A,B,0,1
63,3,9,right,4,6,6,A,B,0,1
63,3,10,right,4,6,6,A,B,0,1
63,3,11,right,4,6,6,A,B,0,1
63,3,12,right,4,6,6,A,B,0,1
63,3,13,right,4,6,6,A,B,0,1
63,3,14,right,4,6,6,A,B,0,1
63,3,15,right,4,6,6,A,B,0,1
63,3,16,right,4,6,6,A,B,0,1
63,3,17,right,9,1,1,A,B,0,1
63,3,18,left,4,6,4,A,B,1,0
63,3,19,left,4,6,4,A,B,1,0
63,3,20,right,4,6,6,A,B,0,1
63,3,21,right,4,6,6,A,B,0,1
63,3,22,right,4,6,6,A,B,0,1
63,3,23,right,4,6,6,A,B,0,1
63,3,24,right,4,6,6,A,B,0,1
63,3,25,right,4,6,6,A,B,0,1
63,3,26,right,4,6,6,A,B,0,1
63,3,27,left,4,6,4,A,B,1,0
63,3,28,right,4,6,6,A,B,0,1
63,3,29,right,4,6,6,A,B,0,1
63,3,30,right,4,6,6,A,B,0,1
63,4,1,left,9,6,6,B,A,0,1
63,4,2,right,4,6,4,B,A,1,0
63,4,3,right,4,6,4,B,A,1,0
63,4,4,right,4,6,4,B,A,1,0
63,4,5,left,4,6,6,B,A,0,1
63,4,6,left,9,1,1,B,A,0,1
63,4,7,right,9,6,9,B,A,1,0
63,4,8,right,4,1,4,B,A,1,0
63,4,9,right,4,6,4,B,A,1,0
63,4,10,left,4,1,1,B,A,0,1
63,4,11,left,9,6,6,B,A,0,1
63,4,12,left,4,6,6,B,A,0,1
63,4,13,right,4,6,4,B,A,1,0
63,4,14,left,9,1,1,B,A,0,1
63,4,15,right,4,1,4,B,A,1,0
63,4,16,right,4,1,4,B,A,1,0
63,4,17,right,9,6,9,B,A,1,0
63,4,18,left,4,6,6,B,A,0,1
63,4,19,right,4,6,4,B,A,1,0
63,4,20,left,9,6,6,B,A,0,1
63,4,21,right,4,6,4,B,A,1,0
63,4,22,left,9,1,1,B,A,0,1
63,4,23,right,4,6,4,B,A,1,0
63,4,24,left,9,6,6,B,A,0,1
63,4,25,left,4,1,1,B,A,0,1
63,4,26,right,4,1,4,B,A,1,0
63,4,27,right,9,6,9,B,A,1,0
63,4,28,right,4,6,4,B,A,1,0
63,4,29,left,4,1,1,B,A,0,1
63,4,30,right,4,6,4,B,A,1,0
64,1,1,left,8,4,8,A,B,1,0
64,1,2,left,9,4,9,A,B,1,0
64,1,3,left,5,6,5,A,B,1,0
64,1,4,right,6,5,5,A,B,0,1
64,1,5,right,1,5,5,A,B,0,1
64,1,6,right,3,4,4,A,B,0,1
64,1,7,right,4,9,9,A,B,0,1
64,1,8,right,6,2,2,A,B,0,1
64,1,9,right,5,8,8,A,B,0,1
64,1,10,right,4,6,6,A,B,0,1
64,1,11,right,5,1,1,A,B,0,1
64,1,12,right,3,5,5,A,B,0,1
64,1,13,left,5,6,5,A,B,1,0
64,1,14,right,6,7,7,A,B,0,1
64,1,15,left,4,5,4,A,B,1,0
64,1,16,left,6,7,6,A,B,1,0
64,1,17,left,2,3,2,A,B,1,0
64,1,18,right,6,7,7,A,B,0,1
64,1,19,right,2,3,3,A,B,0,1
64,1,20,left,4,6,4,A,B,1,0
64,1,21,right,7,5,5,A,B,0,1
64,1,22,right,3,5,5,A,B,0,1
64,1,23,right,7,3,3,A,B,0,1
64,1,24,right,7,4,4,A,B,0,1
64,1,25,right,8,2,2,A,B,0,1
64,1,26,right,4,3,3,A,B,0,1
64,1,27,right,5,6,6,A,B,0,1
64,1,28,right,3,4,4,A,B,0,1
64,1,29,right,5,7,7,A,B,0,1
64,1,30,right,7,8,8,A,B,0,1
64,2,1,left,4,1,4,A,B,1,0
64,2,2,right,4,6,6,A,B,0,1
64,2,3,left,4,6,4,A,B,1,0
64,2,4,left,9,6,9,A,B,1,0
64,2,5,left,4,6,4,A,B,1,0
64,2,6,left,4,6,4,A,B,1,0
64,2,7,left,4,6,4,A,B,1,0
64,2,8,left,4,6,4,A,B,1,0
64,2,9,right,9,6,6,A,B,0,1
64,2,10,right,4,1,1,A,B,0,1
64,2,11,right,4,6,6,A,B,0,1
64,2,12,right,4,6,6,A,B,0,1
64,2,13,right,4,1,1,A,B,0,1
64,2,14,right,4,6,6,A,B,0,1
64,2,15,right,9,6,6,A,B,0,1
64,2,16,left,9,6,9,A,B,1,0
64,2,17,left,4,1,4,A,B,1,0
64,2,18,left,4,6,4,A,B,1,0
64,2,19,left,4,6,4,A,B,1,0
64,2,20,left,4,6,4,A,B,1,0
64,2,21,right,4,1,1,A,B,0,1
64,2,22,right,9,6,6,A,B,0,1
64,2,23,right,4,6,6,A,B,0,1
64,2,24,right,4,6,6,A,B,0,1
64,2,25,right,4,6,6,A,B,0,1
64,2,26,right,4,6,6,A,B,0,1
64,2,27,right,4,6,6,A,B,0,1
64,2,28,right,9,6,6,A,B,0,1
64,2,29,right,4,6,6,A,B,0,1
64,2,30,right,4,1,1,A,B,0,1
64,3,1,left,4,6,4,A,B,1,0
64,3,2,left,4,6,4,A,B,1,0
64,3,3,left,4,6,4,A,B,1,0
64,3,4,right,4,6,6,A,B,0,1
64,3,5,right,4,6,6,A,B,0,1
64,3,6,right,4,6,6,A,B,0,1
64,3,7,right,4,6,6,A,B,0,1
64,3,8,right,4,6,6,A,B,0,1
64,3,9,right,9,6,6,A,B,0,1
64,3,10,right,4,6,6,A,B,0,1
64,3,11,right,4,6,6,A,B,0,1
64,3,12,right,4,1,1,A,B,0,1
64,3,13,right,4,6,6,A,B,0,1
64,3,14,right,4,6,6,A,B,0,1
64,3,15,right,4,6,6,A,B,0,1
64,3,16,right,4,6,6,A,B,0,1
64,3,17,right,4,6,6,A,B,0,1
64,3,18,right,4,6,6,A,B,0,1
64,3,19,right,4,1,1,A,B,0,1
64,3,20,right,4,6,6,A,B,0,1
64,3,21,right,4,6,6,A,B,0,1
64,3,22,right,9,6,6,A,B,0,1
64,3,23,right,4,6,6,A,B,0,1
64,3,24,right,4,6,6,A,B,0,1
64,3,25,right,4,6,6,A,B,0,1
64,3,26,right,4,6,6,A,B,0,1
64,3,27,right,4,6,6,A,B,0,1
64,3,28,right,4,6,6,A,B,0,1
64,3,29,right,4,6,6,A,B,0,1
64,3,30,right,4,6,6,A,B,0,1
64,4,1,right,4,6,4,B,A,1,0
64,4,2,left,9,6,6,B,A,0,1
64,4,3,right,9,6,9,B,A,1,0
64,4,4,right,9,1,9,B,A,1,0
64,4,5,right,4,1,4,B,A,1,0
64,4,6,right,4,6,4,B,A,1,0
64,4,7,right,4,6,4,B,A,1,0
64,4,8,right,9,1,9,B,A,1,0
64,4,9,right,4,6,4,B,A,1,0
64,4,10,left,4,6,6,B,A,0,1
64,4,11,right,4,6,4,B,A,1,0
64,4,12,right,4,1,4,B,A,1,0
64,4,13,right,9,6,9,B,A,1,0
64,4,14,right,4,6,4,B,A,1,0
64,4,15,left,4,1,1,B,A,0,1
64,4,16,left,4,6,6,B,A,0,1
64,4,17,left,9,6,6,B,A,0,1
64,4,18,right,4,6,4,B,A,1,0
64,4,19,right,4,1,4,B,A,1,0
64,4,20,right,4,6,4,B,A,1,0
64,4,21,right,9,1,9,B,A,1,0
64,4,22,left,9,1,1,B,A,0,1
64,4,23,right,9,6,9,B,A,1,0
64,4,24,right,9,6,9,B,A,1,0
64,4,25,right,4,1,4,B,A,1,0
64,4,26,right,4,1,4,B,A,1,0
64,4,27,left,4,6,6,B,A,0,1
64,4,28,right,4,6,4,B,A,1,0
64,4,29,right,4,6,4,B,A,1,0
64,4,30,right,4,6,4,B,A,1,0
65,1,1,left,6,9,6,A,B,1,0
65,1,2,right,7,4,4,A,B,0,1
65,1,3,right,7,6,6,A,B,0,1
65,1,4,left,8,7,8,A,B,1,0
65,1,5,left,5,6,5,A,B,1,0
65,1,6,left,4,5,4,A,B,1,0
65,1,7,left,6,8,6,A,B,1,0
65,1,8,right,6,7,7,A,B,0,1
65,1,9,right,5,6,6,A,B,0,1
65,1,10,right,8,5,5,A,B,0,1
65,1,11,right,5,6,6,A,B,0,1
65,1,12,right,5,6,6,A,B,0,1
65,1,13,right,7,4,4,A,B,0,1
65,1,14,right,5,6,6,A,B,0,1
65,1,15,right,7,4,4,A,B,0,1
65,1,16,right,6,8,8,A,B,0,1
65,1,17,right,4,5,5,A,B,0,1
65,1,18,right,3,5,5,A,B,0,1
65,1,19,right,6,4,4,A,B,0,1
65,1,20,right,7,8,8,A,B,0,1
65,1,21,right,5,7,7,A,B,0,1
65,1,22,right,8,6,6,A,B,0,1
65,1,23,right,6,7,7,A,B,0,1
65,1,24,right,9,3,3,A,B,0,1
65,1,25,left,7,8,7,A,B,1,0
65,1,26,right,6,7,7,A,B,0,1
65,1,27,right,4,5,5,A,B,0,1
65,1,28,right,4,6,6,A,B,0,1
65,1,29,right,6,7,7,A,B,0,1
65,1,30,right,8,5,5,A,B,0,1
65,2,1,right,9,6,6,A,B,0,1
65,2,2,left,4,6,4,A,B,1,0
65,2,3,left,4,1,4,A,B,1,0
65,2,4,left,4,6,4,A,B,1,0
65,2,5,left,4,6,4,A,B,1,0
65,2,6,right,4,1,1,A,B,0,1
65,2,7,right,4,6,6,A,B,0,1
65,2,8,left,4,6,4,A,B,1,0
65,2,9,left,4,6,4,A,B,1,0
65,2,10,left,9,6,9,A,B,1,0
65,2,11,left,4,6,4,A,B,1,0
65,2,12,left,4,6,4,A,B,1,0
65,2,13,right,4,6,6,A,B,0,1
65,2,14,left,4,1,4,A,B,1,0
65,2,15,right,9,6,6,A,B,0,1
65,2,16,left,9,6,9,A,B,1,0
65,2,17,left,4,1,4,A,B,1,0
65,2,18,left,4,6,4,A,B,1,0
65,2,19,left,4,6,4,A,B,1,0
65,2,20,left,4,6,4,A,B,1,0
65,2,21,left,4,6,4,A,B,1,0
65,2,22,right,4,1,1,A,B,0,1
65,2,23,left,9,6,9,A,B,1,0
65,2,24,left,4,6,4,A,B,1,0
65,2,25,right,4,6,6,A,B,0,1
65,2,26,left,4,1,4,A,B,1,0
65,2,27,right,4,6,6,A,B,0,1
65,2,28,right,4,6,6,A,B,0,1
65,2,29,right,4,6,6,A,B,0,1
65,2,30,right,9,6,6,A,B,0,1
65,3,1,right,4,6,4,B,A,1,0
65,3,2,left,4,6,6,B,A,0,1
65,3,3,left,4,6,6,B,A,0,1
65,3,4,left,4,6,6,B,A,0,1
65,3,5,left,4,6,6,B,A,0,1
65,3,6,right,4,6,4,B,A,1,0
65,3,7,right,4,6,4,B,A,1,0
65,3,8,right,9,1,9,B,A,1,0
65,3,9,right,4,6,4,B,A,1,0
65,3,10,right,4,6,4,B,A,1,0
65,3,11,left,4,6,6,B,A,0,1
65,3,12,right,4,6,4,B,A,1,0
65,3,13,right,4,6,4,B,A,1,0
65,3,14,right,4,6,4,B,A,1,0
65,3,15,right,4,6,4,B,A,1,0
65,3,16,right,4,6,4,B,A,1,0
65,3,17,left,4,6,6,B,A,0,1
65,3,18,right,4,6,4,B,A,1,0
65,3,19,left,4,6,6,B,A,0,1
65,3,20,right,4,1,4,B,A,1,0
65,3,21,right,4,6,4,B,A,1,0
65,3,22,left,9,6,6,B,A,0,1
65,3,23,right,4,6,4,B,A,1,0
65,3,24,right,4,6,4,B,A,1,0
65,3,25,right,4,6,4,B,A,1,0
65,3,26,left,4,6,6,B,A,0,1
65,3,27,left,4,6,6,B,A,0,1
65,3,28,left,4,6,6,B,A,0,1
65,3,29,right,4,6,4,B,A,1,0
65,3,30,right,4,6,4,B,A,1,0
65,4,1,left,9,6,6,B,A,0,1
65,4,2,right,9,6,9,B,A,1,0
65,4,3,right,9,6,9,B,A,1,0
65,4,4,right,9,6,9,B,A,1,0
65,4,5,left,4,1,1,B,A,0,1
65,4,6,right,4,1,4,B,A,1,0
65,4,7,right,4,6,4,B,A,1,0
65,4,8,left,9,1,1,B,A,0,1
65,4,9,right,4,6,4,B,A,1,0
65,4,10,right,4,6,4,B,A,1,0
65,4,11,right,4,6,4,B,A,1,0
65,4,12,right,4,1,4,B,A,1,0
65,4,13,left,4,1,1,B,A,0,1
65,4,14,right,4,6,4,B,A,1,0
65,4,15,right,4,6,4,B,A,1,0
65,4,16,left,4,6,6,B,A,0,1
65,4,17,right,4,6,4,B,A,1,0
65,4,18,left,9,6,6,B,A,0,1
65,4,19,right,9,6,9,B,A,1,0
65,4,20,right,9,6,9,B,A,1,0
65,4,21,right,4,1,4,B,A,1,0
65,4,22,right,4,6,4,B,A,1,0
65,4,23,left,4,6,6,B,A,0,1
65,4,24,left,4,6,6,B,A,0,1
65,4,25,right,4,1,4,B,A,1,0
65,4,26,right,9,1,9,B,A,1,0
65,4,27,right,4,1,4,B,A,1,0
65,4,28,left,4,1,1,B,A,0,1
65,4,29,right,9,6,9,B,A,1,0
65,4,30,right,4,6,4,B,A,1,0
66,1,1,left,8,5,5,B,A,0,1
66,1,2,right,6,8,6,B,A,1,0
66,1,3,left,4,5,5,B,A,0,1
66,1,4,left,9,3,3,B,A,0,1
66,1,5,right,6,9,6,B,A,1,0
66,1,6,right,4,5,4,B,A,1,0
66,1,7,right,6,7,6,B,A,1,0
66,1,8,right,5,6,5,B,A,1,0
66,1,9,right,7,8,7,B,A,1,0
66,1,10,right,6,8,6,B,A,1,0
66,1,11,left,5,6,6,B,A,0,1
66,1,12,left,6,7,7,B,A,0,1
66,1,13,left,5,7,7,B,A,0,1
66,1,14,left,7,8,8,B,A,0,1
66,1,15,left,6,7,7,B,A,0,1
66,1,16,left,7,6,6,B,A,0,1
66,1,17,left,4,5,5,B,A,0,1
66,1,18,left,5,6,6,B,A,0,1
66,1,19,left,4,6,6,B,A,0,1
66,1,20,left,6,4,4,B,A,0,1
66,1,21,left,8,6,6,B,A,0,1
66,1,22,right,8,7,8,B,A,1,0
66,1,23,right,6,7,6,B,A,1,0
66,1,24,right,7,4,7,B,A,1,0
66,1,25,right,5,6,5,B,A,1,0
66,1,26,right,8,5,8,B,A,1,0
66,1,27,left,3,5,5,B,A,0,1
66,1,28,right,5,6,5,B,A,1,0
66,1,29,left,7,4,4,B,A,0,1
66,1,30,left,7,4,4,B,A,0,1
